Data,1. open,2. high,3. low,4. close,5. volume
2025-04-28,10.83,10.99,10.82,10.83,15665800.0
2025-04-25,10.77,11.04,10.68,10.93,24980100.0
2025-04-24,10.49,10.67,10.35,10.64,23726800.0
2025-04-23,10.4,10.48,10.31,10.45,16316700.0
2025-04-22,10.42,10.45,10.29,10.29,15103700.0
2025-04-17,10.26,10.43,10.2,10.35,11871300.0
2025-04-16,10.26,10.33,10.2,10.24,16522500.0
2025-04-15,10.22,10.38,10.18,10.3,11809200.0
2025-04-14,10.21,10.29,10.08,10.2,10157000.0
2025-04-11,10.12,10.21,9.99,10.11,13846300.0
2025-04-10,10.14,10.15,9.92,10.05,15010900.0
2025-04-09,9.99,10.35,9.89,10.15,24793600.0
2025-04-08,10.03,10.09,9.94,10.01,17035600.0
2025-04-07,9.97,10.16,9.81,10.0,21486300.0
2025-04-04,10.13,10.13,9.95,10.0,18449800.0
2025-04-03,10.09,10.29,10.05,10.15,17542000.0
2025-04-02,10.1,10.25,10.01,10.09,17399500.0
2025-04-01,10.18,10.18,9.96,10.09,25797700.0
2025-03-31,10.36,10.4,10.24,10.26,12755600.0
2025-03-28,10.42,10.45,10.32,10.36,10400000.0
2025-03-27,10.5,10.55,10.39,10.42,10294000.0
2025-03-26,10.65,10.66,10.37,10.46,14261900.0
2025-03-25,10.79,10.81,10.65,10.65,14784100.0
2025-03-24,10.89,11.0,10.74,10.74,15315400.0
2025-03-21,11.27,11.46,10.65,10.8,56803000.0
2025-03-20,11.53,11.56,11.23,11.35,13535400.0
2025-03-19,11.34,11.56,11.29,11.49,16851200.0
2025-03-18,11.19,11.35,11.11,11.33,14519800.0
2025-03-17,11.0,11.22,10.88,11.19,16639200.0
2025-03-14,11.32,11.35,10.81,10.98,28449400.0
2025-03-13,11.23,11.29,10.98,11.25,15238600.0
2025-03-12,11.16,11.26,11.07,11.21,8019000.0
2025-03-11,11.14,11.2,11.06,11.17,9029800.0
