Data,1. open,2. high,3. low,4. close,5. volume
2025-04-25,12.05,12.09,11.89,12.0,96200.0
2025-04-24,11.76,12.06,11.72,11.95,168900.0
2025-04-23,11.55,11.79,11.55,11.72,91300.0
2025-04-22,11.43,11.59,11.39,11.55,80300.0
2025-04-17,11.38,11.52,11.35,11.44,61300.0
2025-04-16,11.45,11.45,11.23,11.35,38300.0
2025-04-15,11.25,11.5,11.25,11.47,44900.0
2025-04-14,11.33,11.46,11.25,11.38,50800.0
2025-04-11,11.22,11.43,11.22,11.3,49600.0
2025-04-10,11.27,11.37,11.22,11.22,78600.0
2025-04-09,11.15,11.49,11.15,11.38,101800.0
2025-04-08,11.25,11.36,11.23,11.26,76000.0
2025-04-07,11.27,11.37,11.12,11.23,128200.0
2025-04-04,11.4,11.46,11.28,11.4,89800.0
2025-04-03,11.3,11.48,11.2,11.39,80100.0
2025-04-02,11.3,11.33,11.22,11.27,44800.0
2025-04-01,11.25,11.35,11.16,11.29,54600.0
2025-03-31,11.3,11.38,11.26,11.3,52800.0
2025-03-28,11.27,11.34,11.22,11.34,45000.0
2025-03-27,11.3,11.35,11.21,11.28,37400.0
2025-03-26,11.35,11.35,11.27,11.3,46200.0
2025-03-25,11.37,11.42,11.3,11.35,95800.0
2025-03-24,11.44,11.53,11.34,11.37,101300.0
2025-03-21,11.45,11.58,11.45,11.45,64000.0
2025-03-20,11.35,11.5,11.34,11.44,119500.0
2025-03-19,11.35,11.47,11.1,11.35,100600.0
2025-03-18,11.41,11.51,11.41,11.42,57500.0
2025-03-17,11.35,11.5,11.26,11.41,112600.0
2025-03-14,11.16,11.36,11.12,11.35,89800.0
2025-03-13,11.05,11.2,10.97,11.12,50800.0
2025-03-12,11.01,11.29,10.9,11.05,74500.0
2025-03-11,11.09,11.09,10.98,11.01,62800.0
2025-03-10,11.05,11.11,10.98,11.09,67400.0
2025-03-07,10.94,11.09,10.88,11.08,58800.0
2025-03-06,10.92,10.96,10.86,10.94,63800.0
2025-03-05,10.94,11.0,10.8,10.92,61400.0
2025-02-28,10.95,10.99,10.84,10.94,70500.0
2025-02-27,10.94,11.0,10.91,10.95,71400.0
2025-02-26,10.96,11.03,10.92,10.94,77000.0
2025-02-25,10.89,11.0,10.85,10.96,49300.0
2025-02-24,10.95,10.95,10.85,10.89,62500.0
2025-02-21,10.91,10.92,10.83,10.91,49200.0
2025-02-20,10.89,10.89,10.81,10.86,77400.0
2025-02-19,10.96,11.01,10.83,10.85,85200.0
2025-02-18,11.06,11.43,10.85,10.97,152800.0
2025-02-17,11.09,11.09,10.95,10.95,83800.0
2025-02-14,10.82,11.09,10.82,11.04,79000.0
2025-02-13,10.9,10.9,10.78,10.82,84500.0
2025-02-12,11.09,11.09,10.86,10.93,59500.0
2025-02-11,10.85,11.04,10.85,11.04,56500.0
2025-02-10,10.99,11.0,10.9,10.92,53600.0
2025-02-07,11.0,11.02,10.89,10.99,68700.0
2025-02-06,11.0,11.01,10.9,11.0,61300.0
2025-02-05,11.11,11.13,10.97,11.0,66300.0
2025-02-04,11.1,11.14,10.99,11.11,52100.0
2025-02-03,11.1,11.18,11.01,11.07,79700.0
2025-01-31,10.97,11.18,10.97,11.1,92300.0
2025-01-30,10.82,11.0,10.76,10.97,87600.0
2025-01-29,10.84,10.86,10.76,10.76,119200.0
2025-01-28,10.72,10.83,10.71,10.83,56700.0
2025-01-27,10.72,10.85,10.6,10.72,127300.0
2025-01-24,10.81,10.81,10.59,10.72,190300.0
2025-01-23,10.88,10.89,10.65,10.7,192400.0
2025-01-22,10.93,10.98,10.87,10.88,52700.0
2025-01-21,10.91,11.0,10.87,10.92,55900.0
2025-01-20,10.84,10.92,10.78,10.92,53100.0
2025-01-17,10.74,10.92,10.7,10.9,100400.0
2025-01-16,10.79,10.83,10.73,10.73,101300.0
2025-01-15,10.73,10.9,10.73,10.79,88600.0
2025-01-14,10.73,10.8,10.65,10.73,77900.0
2025-01-13,10.83,10.89,10.68,10.72,121500.0
2025-01-10,10.96,10.96,10.82,10.83,91400.0
2025-01-09,10.96,11.01,10.9,10.96,56900.0
2025-01-08,11.17,11.17,10.9,10.9,60000.0
2025-01-07,10.89,11.21,10.89,11.05,86300.0
2025-01-06,10.81,10.93,10.69,10.89,103600.0
2025-01-03,11.05,11.05,10.7,10.7,182900.0
2025-01-02,11.02,11.05,10.85,10.94,131800.0
2024-12-30,11.08,11.08,10.91,10.91,140400.0
2024-12-27,11.05,11.09,10.98,11.08,95300.0
2024-12-26,10.89,11.04,10.88,11.0,87400.0
2024-12-23,11.15,11.24,10.86,10.88,160600.0
2024-12-20,11.01,11.29,10.99,11.29,74500.0
2024-12-19,11.01,11.11,10.91,11.01,109000.0
2024-12-18,11.25,11.26,10.9,10.9,183000.0
2024-12-17,11.21,11.29,11.17,11.25,152000.0
2024-12-16,11.3,11.4,11.17,11.21,87900.0
2024-12-13,11.3,11.37,11.28,11.3,53400.0
2024-12-12,11.37,11.42,11.3,11.3,90700.0
2024-12-11,11.41,11.49,11.33,11.4,69100.0
2024-12-10,11.41,11.42,11.3,11.41,57700.0
2024-12-09,11.4,11.42,11.25,11.32,86500.0
2024-12-06,11.49,11.49,11.3,11.49,75000.0
2024-12-05,11.4,11.48,11.36,11.36,58600.0
2024-12-04,11.35,11.44,11.32,11.44,66300.0
2024-12-03,11.25,11.41,11.25,11.35,72200.0
2024-12-02,11.22,11.37,11.22,11.33,90400.0
2024-11-30,11.18,11.4,11.14,11.32,95800.0
2024-11-29,11.18,11.32,11.14,11.32,95200.0
2024-11-28,11.4,11.41,11.18,11.18,109000.0
2024-11-27,11.46,11.52,11.29,11.31,118400.0
2024-11-26,11.45,11.5,11.39,11.46,58000.0
2024-11-25,11.37,11.45,11.35,11.45,71800.0
2024-11-22,11.25,11.39,11.25,11.36,36900.0
2024-11-21,11.34,11.39,11.25,11.25,47900.0
2024-11-19,11.25,11.36,11.21,11.36,41000.0
2024-11-18,11.35,11.36,11.21,11.25,92900.0
2024-11-14,11.3,11.41,11.28,11.29,68400.0
2024-11-13,11.45,11.45,11.24,11.34,160200.0
2024-11-12,11.57,11.72,11.02,11.33,177500.0
2024-11-11,11.68,11.72,11.55,11.64,120700.0
2024-11-08,11.63,11.82,11.5,11.64,127000.0
2024-11-07,11.56,11.8,11.56,11.65,108000.0
2024-11-06,11.53,11.56,11.4,11.56,53700.0
2024-11-05,11.57,11.6,11.47,11.51,74300.0
2024-11-04,11.49,11.6,11.49,11.59,85600.0
2024-11-01,11.59,11.65,11.48,11.48,74300.0
2024-10-31,11.51,11.64,11.5,11.59,84700.0
2024-10-30,11.41,11.52,11.41,11.51,51700.0
2024-10-29,11.41,11.47,11.41,11.43,47900.0
2024-10-28,11.35,11.46,11.35,11.46,68200.0
2024-10-25,11.41,11.44,11.4,11.42,40300.0
2024-10-24,11.44,11.44,11.39,11.41,27700.0
2024-10-23,11.49,11.49,11.36,11.4,42700.0
2024-10-22,11.54,11.54,11.41,11.49,69000.0
2024-10-21,11.59,11.62,11.51,11.54,47900.0
2024-10-18,11.65,11.65,11.51,11.56,34500.0
2024-10-17,11.63,11.63,11.5,11.58,51000.0
2024-10-16,11.59,11.71,11.59,11.68,50700.0
2024-10-15,11.52,11.58,11.47,11.56,46500.0
2024-10-14,11.39,11.5,11.39,11.48,58200.0
2024-10-11,11.49,11.49,11.38,11.44,75100.0
2024-10-10,11.4,11.57,11.39,11.49,46400.0
2024-10-09,11.52,11.52,11.4,11.45,63100.0
2024-10-08,11.49,11.52,11.43,11.52,42500.0
2024-10-07,11.4,11.54,11.4,11.52,55100.0
2024-10-04,11.4,11.43,11.32,11.41,58400.0
2024-10-03,11.49,11.49,11.36,11.41,62600.0
2024-10-02,11.43,11.54,11.43,11.48,58300.0
2024-10-01,11.52,11.52,11.39,11.43,56500.0
2024-09-30,11.43,11.44,11.33,11.4,54500.0
2024-09-27,11.4,11.46,11.35,11.37,60800.0
2024-09-26,11.34,11.42,11.32,11.4,60400.0
2024-09-25,11.41,11.45,11.32,11.36,70400.0
2024-09-24,11.45,11.52,11.35,11.41,74900.0
2024-09-23,11.5,11.55,11.31,11.42,81200.0
2024-09-20,11.45,11.48,11.33,11.47,124600.0
2024-09-19,11.5,11.58,11.41,11.45,101900.0
2024-09-18,11.55,11.57,11.49,11.5,62900.0
2024-09-17,11.69,11.69,11.51,11.55,124000.0
2024-09-16,11.76,11.78,11.67,11.77,58400.0
2024-09-13,11.67,11.76,11.66,11.75,56300.0
